Manager	Package	Version	ReleaseDate	Dependencies
bioc-conda	bioconductor-bsseq	1.22.0	2019-11-02	bioconductor-beachmat;bioconductor-biobase;bioconductor-biocgenerics;bioconductor-biocparallel;bioconductor-biostrings;bioconductor-bsgenome;bioconductor-delayedarray;bioconductor-delayedmatrixstats;bioconductor-genomeinfodb;bioconductor-genomicranges;bioconductor-hdf5array;bioconductor-iranges;bioconductor-limma;bioconductor-rhdf5;bioconductor-s4vectors;bioconductor-summarizedexperiment;libcxx;libgcc-ng;libstdcxx-ng;r-base;r-data.table;r-gtools;r-locfit;r-permute;r-r.utils;r-rcpp;r-scales
bioc-conda	bioconductor-delayedarray	0.12.0	2019-11-01	bioconductor-biocgenerics;bioconductor-biocparallel;bioconductor-iranges;bioconductor-s4vectors;libgcc-ng;r-base;r-matrix;r-matrixstats
bioc-conda	bioconductor-delayedmatrixstats	1.8.0	2019-11-03	bioconductor-biocparallel;bioconductor-delayedarray;bioconductor-hdf5array;bioconductor-iranges;bioconductor-s4vectors;r-base;r-matrix;r-matrixstats
bioc-conda	bioconductor-deseq2	1.26.0	2019-11-01	bioconductor-biobase;bioconductor-biocgenerics;bioconductor-biocparallel;bioconductor-genefilter;bioconductor-geneplotter;bioconductor-genomicranges;bioconductor-iranges;bioconductor-s4vectors;bioconductor-summarizedexperiment;libcxx;libgcc-ng;libstdcxx-ng;r-base;r-ggplot2;r-hmisc;r-locfit;r-rcpp;r-rcpparmadillo
bioc-conda	bioconductor-deseq	1.38.0	2019-11-02	bioconductor-biobase;bioconductor-biocgenerics;bioconductor-genefilter;bioconductor-geneplotter;libgcc-ng;r-base;r-lattice;r-locfit;r-mass;r-rcolorbrewer
bioc-conda	bioconductor-dss	2.34.0	2019-11-02	bioconductor-biobase;bioconductor-bsseq;bioconductor-delayedarray;libgcc-ng;r-base
bioc-conda	bioconductor-ebseq	1.26.0	2019-11-01	r-base;r-blockmodeling;r-gplots;r-testthat
bioc-conda	bioconductor-edger	3.28.0	2019-11-01	bioconductor-limma;libblas;libcxx;libgcc-ng;libgfortran;libgfortran-ng;liblapack;libstdcxx-ng;r-base;r-locfit;r-rcpp
bioc-conda	bioconductor-genefilter	1.68.0	2019-11-02	bioconductor-annotate;bioconductor-annotationdbi;bioconductor-biobase;bioconductor-biocgenerics;libcxx;libgcc-ng;libgfortran;libgfortran-ng;libstdcxx-ng;r-base;r-survival
bioc-conda	bioconductor-geneplotter	1.64.0	2019-11-03	bioconductor-annotate;bioconductor-annotationdbi;bioconductor-biobase;bioconductor-biocgenerics;r-base;r-lattice;r-rcolorbrewer
bioc-conda	bioconductor-genomeinfodb	1.22.0	2019-11-01	bioconductor-biocgenerics;bioconductor-genomeinfodbdata;bioconductor-iranges;bioconductor-s4vectors;r-base;r-rcurl
bioc-conda	bioconductor-genomeinfodbdata	1.2.2	2019-11-01	curl;r-base
bioc-conda	bioconductor-genomicalignments	1.22.0	2019-11-02	bioconductor-biocgenerics;bioconductor-biocparallel;bioconductor-biostrings;bioconductor-genomeinfodb;bioconductor-genomicranges;bioconductor-iranges;bioconductor-rsamtools;bioconductor-s4vectors;bioconductor-summarizedexperiment;libgcc-ng;r-base
bioc-conda	bioconductor-genomicranges	1.38.0	2019-11-01	bioconductor-biocgenerics;bioconductor-genomeinfodb;bioconductor-iranges;bioconductor-s4vectors;bioconductor-xvector;libgcc-ng;r-base
